id,status,winnerTeam,sets,playedDate,postponedNote,court
m_1_1,completed,2,"4-6 5-7",,,"Pista 1"
m_1_2,completed,2,"3-6 2-6",,,
m_1_3,completed,1,"6-2 6-3",,,
m_2_1,completed,1,"6-2 6-2",,,
m_2_2,pending,,,,,"Pista 2"
m_2_3,pending,,,,,"Pista 3"
m_3_1,pending,,,,,"Pista 1"
m_3_2,pending,,,,,"Pista 2"
m_3_3,pending,,,,,"Pista 3"
m_4_1,pending,,,,,
m_4_2,pending,,,,,
m_4_3,pending,,,,,
m_5_1,pending,,,,,
m_5_2,pending,,,,,
m_5_3,pending,,,,,
m_6_1,pending,,,,,
m_6_2,pending,,,,,
m_6_3,pending,,,,,
m_7_1,pending,,,,,
m_7_2,pending,,,,,
m_7_3,pending,,,,,
m_8_1,pending,,,,,
m_8_2,pending,,,,,
m_8_3,pending,,,,,
m_9_1,pending,,,,,
m_9_2,pending,,,,,
m_9_3,pending,,,,,
m_10_1,pending,,,,,
m_10_2,pending,,,,,
m_10_3,pending,,,,,
m_11_1,pending,,,,,
m_11_2,pending,,,,,
m_11_3,pending,,,,,
